"No.","Time","Source","Destination","Protocol","Length","Info"
"133","11.292804","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=85 Ack=35 Win=65348 Len=4"
"134","11.392357","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=35 Ack=89 Win=65172 Len=0"
"135","11.433844","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=106 Ack=1 Win=65472 Len=5"
"136","11.474846","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=111 Win=64602 Len=0"
"137","11.596889","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=35 Ack=89 Win=65172 Len=1"
"138","11.601259","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=89 Ack=36 Win=65347 Len=4"
"139","11.706095","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=36 Ack=93 Win=65168 Len=0"
"140","11.909973","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=36 Ack=93 Win=65168 Len=1"
"141","11.950970","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=93 Ack=37 Win=65346 Len=0"
"142","11.956317","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=111 Ack=1 Win=65472 Len=5"
"143","11.996850","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=116 Win=64597 Len=0"
"144","12.745201","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=37 Ack=93 Win=65168 Len=1"
"145","12.747200","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=93 Ack=38 Win=65345 Len=4"
"146","13.023272","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=116 Ack=1 Win=65472 Len=5"
"147","13.063551","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=121 Win=64592 Len=0"
"148","13.063563","25.114.157.253","25.59.115.113","TCP","58","[TCP Retransmission] 1234  >  53036 [PSH, ACK] Seq=93 Ack=38 Win=65345 Len=4"
"149","13.305231","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=38 Ack=97 Win=65164 Len=2"
"150","13.309252","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=97 Ack=40 Win=65343 Len=4"
"151","13.311328","25.59.115.113","25.114.157.253","TCP","66","[TCP Keep-Alive] 53036  >  1234 [ACK] Seq=39 Ack=97 Win=65164 Len=0 SLE=93 SRE=97"
"152","13.311428","25.114.157.253","25.59.115.113","TCP","54","[TCP Keep-Alive ACK] 1234  >  53036 [ACK] Seq=101 Ack=40 Win=65343 Len=0"
"153","13.576151","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=40 Ack=101 Win=65160 Len=0"
"154","13.576165","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=40 Ack=101 Win=65160 Len=1"
"155","13.576241","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=121 Ack=1 Win=65472 Len=5"
"156","13.616793","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=101 Ack=41 Win=65342 Len=0"
"157","13.616801","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=126 Win=64587 Len=0"
"158","13.853070","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=40 Ack=101 Win=65160 Len=2"
"159","13.853177","25.114.157.253","25.59.115.113","TCP","66","[TCP ACKed unseen segment] 1234  >  53036 [ACK] Seq=101 Ack=42 Win=65341 Len=0 SLE=40 SRE=41"
"160","13.855781","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=101 Ack=42 Win=65341 Len=4"
"161","13.962064","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=42 Ack=105 Win=65156 Len=0"
"162","14.038045","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=126 Ack=1 Win=65472 Len=5"
"163","14.039747","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=42 Ack=105 Win=65156 Len=1"
"164","14.041110","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=105 Ack=43 Win=65340 Len=4"
"165","14.079610","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=131 Win=64582 Len=0"
"166","14.313199","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=43 Ack=109 Win=65152 Len=0"
"167","14.313551","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=43 Ack=109 Win=65152 Len=1"
"168","14.354242","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=109 Ack=44 Win=65339 Len=0"
"169","14.573810","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=131 Ack=1 Win=65472 Len=5"
"170","14.596012","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=43 Ack=109 Win=65152 Len=2"
"171","14.596189","25.114.157.253","25.59.115.113","TCP","66","[TCP ACKed unseen segment] 1234  >  53036 [ACK] Seq=109 Ack=45 Win=65338 Len=0 SLE=43 SRE=44"
"172","14.598792","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=109 Ack=45 Win=65338 Len=4"
"173","14.616011","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=136 Win=64577 Len=0"
"174","14.837898","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=45 Ack=113 Win=65148 Len=0"
"175","15.099967","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=136 Ack=1 Win=65472 Len=5"
"176","15.140998","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=141 Win=64572 Len=0"
"177","15.268539","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=45 Ack=113 Win=65148 Len=1"
"178","15.271142","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=113 Ack=46 Win=65337 Len=4"
"179","15.327919","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=46 Ack=117 Win=65144 Len=1"
"180","15.368649","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=117 Ack=47 Win=65336 Len=0"
"181","15.506668","7a:79:19:72:9d:fd","7a:79:19:5e:09:fe","ARP","42","Who has 25.94.9.254? Tell 25.114.157.253"
"182","15.506874","7a:79:19:5e:09:fe","7a:79:19:72:9d:fd","ARP","60","25.94.9.254 is at 7a:79:19:5e:09:fe"
"183","15.569918","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=47 Ack=117 Win=65144 Len=1"
"184","15.599538","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=141 Ack=1 Win=65472 Len=5"
"185","15.610992","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=117 Ack=48 Win=65335 Len=0"
"186","15.639552","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=146 Win=64567 Len=0"
"187","16.056164","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=48 Ack=117 Win=65144 Len=1"
"188","16.058405","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=117 Ack=49 Win=65334 Len=4"
"189","16.122543","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=146 Ack=1 Win=65472 Len=5"
"190","16.159995","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=49 Ack=121 Win=65140 Len=0"
"191","16.172912","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=151 Win=64562 Len=0"
"192","16.417687","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=49 Ack=121 Win=65140 Len=1"
"193","16.420441","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=121 Ack=50 Win=65333 Len=4"
"194","16.683938","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=50 Ack=125 Win=65136 Len=1"
"195","16.688716","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=151 Ack=1 Win=65472 Len=5"
"196","16.724763","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=125 Ack=51 Win=65332 Len=0"
"197","16.728776","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=156 Win=64557 Len=0"
"198","17.214373","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=156 Ack=1 Win=65472 Len=5"
"199","17.214455","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=51 Ack=125 Win=65136 Len=1"
"200","17.218143","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=125 Ack=52 Win=65331 Len=4"
